Length,Releases,Genres,ISRC
219.72,64,"['pop', 'pop rock']",USUG12304091
,0,[],BCAEW2400001
,0,[],UKQNV2100272
184.12,6,[],QZTB52268087
,0,[],ATR981312465
297.794,2,[],TCAIA2495220
149.667,17,[],UKWLG2400013
,0,[],CLLU22300585
162.573,4,['hip hop'],QZDYA1800087
,0,[],FRX282306294
198.081,31,['pop'],USUM72102636
183.29,112,"['funky house', 'electronica', 'synth-pop', 'electropop', 'disco', 'nu disco', 'pop', 'funktronica', 'dance-pop']",GBAHT1901121
239.835,29,"['rap/hip hop', 'hip hop', 'emo rap']",USUG11800685
209.791,11,['reggaeton'],USUM72205906
187.541,7,"['pop', 'trap', 'hip hop']",USAT22005111
167.0,2,['asian music'],USA2P2421932
456.933,2,[],USUG12402984
,0,[],CA5KR2466577
184.4,35,['pop'],USA2P2330093
163.0,15,['country'],USUG12300802
251.146,17,"['pop', 'pop soul', 'pop rock', 'folk']",IEACJ2300335
230.746,70,"['pop', 'rock', 'europop']",GBAHS2100318
173.0,8,['reggaeton'],USUG12305257
242.048,29,"['funk', 'r&b', 'audiodownload.org', 'hip hop', 'pop', 'soul']",USAT22100906
,0,[],JPKI02118106
178.0,58,"['pop rock', 'pop-punk', 'rock', 'grunge', 'indie pop', 'emotional', 'teen pop', 'angry', 'pop', 'sad', 'emo']",USUG12101245
184.5,165,"['trap music', 'alternative pop', 'avant-garde pop', 'pop music', 'dark', 'microhouse', 'indie pop', 'electropop', 'hip hop', 'tech house', 'pop', 'trap', 'dance-pop']",USUM71900764
190.96,87,['pop'],USUM71911283
157.017,7,[],USSM12207207
181.733,15,[],USUM72007941
194.924,34,"['pop', 'pop music']",GBAHS2201304
227.195,8,"['pop', 'alternative rock']",USWB12304903
215.093,83,['pop'],USUM71915699
165.0,2,"['regional mexicano', 'norteño']",DGA062382895
191.822,33,"['pop', 'pop rap']",USAT22202139
245.0,43,"['pop', 'electro house', 'future bass', 'electropop']",USQX91601347
174.0,13,[],KRA402300002
162.768,1,"['hip hop', 'reggaeton']",QMFME2364199
319.191,4,"['hip hop', 'rap']",USUG12306085
216.0,58,"['pop', 'hip hop']",USSM11706905
,0,[],USUM72318216
192.841,21,['pop'],USUM72208023
165.0,32,"['pop rap', 'hiphop', 'jazz', 'pop', 'electronic', 'ambient', 'alternative']",USUM72201759
142.334,3,['reggaeton'],USSD12300400
228.5,10,['pop'],USRC12400001
209.63,8,[],GBKPL2204171
203.064,62,"['synth-pop', 'sexy', 'disco', 'pop', 'nu disco', 'dance-pop']",GBAHT2000942
148.551,3,['rap/hip hop'],QZSYP2454435
205.48,5,[],USWD12328242
260.111,4,['rap'],USUG12306072
258.0,1,"['latin pop', 'jazz', 'reggaeton']",QM6MZ2214888
237.918,3,[],USSM11914962
272.373,15,[],QMDA62217995
172.533,12,[],GBARL2400510
218.0,4,[],USUG12204897
160.0,26,['pop'],USUM72013339
189.486,75,"['pop music', 'rhythm and blues', 'jazz', 'folk/country', 'pop', 'ambient']",USUM71913350
,0,[],USUM72304895
178.0,6,['electro'],USRC12302637
161.0,2,['rap/hip hop'],USRC12400299
178.156,5,"['pop', 'techno', 'alternative rock']",DEA622301801
214.994,41,"['diva house', 'house', 'garage house', 'pop', 'dance-pop']",USUM72400048
201.66,25,"['pop music', 'electro-r&b', 'sexy', 'indie pop', 'contemporary r&b', 'pop', 'electronic dance music', 'indie', 'electronic', 'alternative']",USUM71813499
392.138,3,['hip hop'],USUG12400909
247.444,4,['rap'],USUG12306071
216.3665,57,"['non-music', 'synth-pop', 'pop rock', 'country rock', 'hard rock', 'ballad', 'americana', 'pop', 'dance-pop']",USUM71813192
187.6525,103,"['rock', 'jazz', 'alternative rock', 'pop', 'electronic', 'ambient', 'alternative']",USUM71704167
185.0,3,[],NGA3B2216004
168.601,43,['pop'],USAT22103652
,0,[],USUYG1425645
232.0,10,['pop'],USRC12201440
168.227,14,['k-pop'],KRA402100099
186.0,1,[],BK4DA2310533
212.0,2,['corrido'],QM7282306246
172.627,23,"['pop', 'pop rap']",USRC12101532
225.0,16,"['disco-funk', 'r&b', 'dance-pop']",USSM12206232
196.221,1,[],KRA402400030
181.0,45,[],KRA402000111
,0,[],QZMEP2285895
176.018,6,[],USLD91757578
182.666,9,[],USUG12208783
236.3805,24,"['pop rap', 'r&b', 'pop', 'east coast hip hop', 'trap rap']",USUM71601094
232.774,2,"['hip hop', 'pop/rock/rap']",USUG12402283
183.0,26,"['eurodance', 'electropop']",SEUM72201638
208.667,25,['pop'],USRC12100543
223.0,2,[],USUG12301757
,0,[],QZNN22329474
188.133,35,"['pop', 'dance music', 'diva house', 'dance-pop']",GBAHT2400114
242.0,61,"['power pop', 'alternative pop', 'pop music', 'pop rock', 'indie pop', 'ballad', 'emotional', 'bedroom pop', 'pop', 'sad']",USUG12004749
190.4465,8,[],USSM12306461
174.0,13,[],KSA012239181
219.0,3,['asian music'],USA2P2414843
139.0,19,['pop'],USUM72222387
218.356,24,"['pop', 'hip hop']",USUM71710087
,0,[],QZDA72340256
193.228,20,['reggaeton'],US2BU1900125
242.373,7,['pop'],QZMEM2209263
202.84,4,[],USUM72301797
147.011,1,"['regional mexicano', 'campirano', 'campirano-banda', 'corrido tumbado']",US3DF2417042
,0,[],ES31E2401197
137.876,25,"['pop', 'electro;pop rap', 'hip hop']",USSM12100531
,0,[],QZ5FN2369288
229.52,28,"['country', 'pop rock', 'sweet', 'country pop', 'chill', 'lovely', 'catchy', 'pop']",USUG12306691
185.0,5,['pop/rock/rap'],TCAGM2208561
233.0,11,"['pop', 'alternative pop', 'alternative r&b', 'alternative']",USWB12201789
174.0,14,['indie pop'],USSM11912587
193.568,1,[],USA2P2414894
263.04,1,['reggae'],CH7811111177
231.704,4,['jersey club'],QM6P42334528
216.148,2,[],QMFMF2215173
144.0,15,['pop'],USSM12105732
199.973,10,['funk;latin'],USSD12100202
183.0,39,[],USUM72305205
229.525,44,"['pop rap', 'vocal', 'furious 7', 'pop rnb dance', 'contemporary r&b', 'pop']",USAT21703595
145.543,8,['pop'],USUG11801811
183.0,8,[],KRA492400678
270.0,91,"['post-modern electronic pop', 'disco rap', 'pop rock', 'boogie', 'rhythm & blues', 'pop 2010er', 'funk', 'r&b', 'synth funk', 'disco', 'pop rnb dance', 'contemporary r&b', 'disco-pop', 'pop', 'soul', 'soul music', 'electronic', 'dance-pop']",GBARL1401524
,0,[],USZXT2350766
145.8,8,[],QMEU31910213
203.5,92,"['pop', 'hip hop', 'reggaeton']",FR22F1701790
177.954,13,['laut.de'],USSM12200610
206.0,27,['pop'],USAT22211992
213.64,4,[],QZLBC2200766
,0,[],AEA0D2036458
205.0,2,"['latin trap', 'jazz']",QMFME2004132
230.2265,75,"['electro house', 'alternative r&b', 'r&b', 'house', 'electropop', 'hip hop', 'jazz', 'contemporary r&b', 'pop', 'soul', 'rnb/swing', 'electronic', 'dance']",USUG11600976
257.7865,120,"['reggae', 'pop rock', 'dance club electro', 'pop rnb dance', 'hip hop', 'contemporary r&b', 'tropical house', 'pop', 'moombahton', 'dancehall', 'dance-pop']",USUM71516760
205.0,2,['rap'],USSM12100388
187.0,63,['pop'],KRA402200017
218.0,92,"['alternative pop', 'indie folk', 'pop music', 'pop rock', 'synth-pop', 'country pop', 'folk-pop', 'pop', 'country music']",USUG12401040
173.186,28,"['pop', 'hip hop']",USSM12000925
199.92,9,[],USUG12208784
246.0,14,['tempo change'],USSM12305021
225.053,4,[],USCA21001182
245.0,2,['reggaeton'],QM6MZ2214875
247.0,65,"['electro house', 'synth-pop', 'chart hits', 'future bass', 'house', 'electropop', 'euro house/hip hop/house/indie pop/indie rock/latin/pop rap/vocal/electronic', 'pop/rock', 'pop', 'electronic']",USQX91700278
178.0,62,['pop'],USUM71900110
187.557,17,"['colombian pop', 'funk']",USUM72219486
172.0,8,['pop'],USSM12003798
,0,[],USUM72402910
198.0,8,"['hip-hop/rap', 'pop rap', 'hip hop']",USCM51800004
,0,[],QM24S2107064
156.345,1,[],USA2P2339944
251.0,29,"['tempo change', 'hip hop']",USSM12305007
172.0,1,[],KRD442400011
230.0,40,"['pop', 'latin']",USUM71703825
153.19,48,"['pop', 'progressive house', 'electronic']",USUM72102635
216.386,44,"['pop', 'hip hop']",USUM71914275
,0,[],QMDA62210237
,0,[],GB1102400418
,0,[],QM4TW2218961
167.0,23,"['jazz', 'dance-pop']",USUG11800208
186.0,2,[],QZQMB2104890
213.0,2,"['jazz', 'reggaeton']",QM6MZ2214884
,0,[],TCADP1859309
,0,[],BRSME2301957
161.831,12,['rock'],USWB12400913
206.71,1,"['pop', 'jazz']",QM6P42169803
195.46,18,"['rock', 'soundtrack', 'alternative rock', 'pop', 'indie']",USAT21601930
123.428,7,['pop'],USA2P2031043
155.0,25,[],USA2P2330068
214.29,91,"['pop', 'electronic', 'electro', 'dance']",USUG11801651
143.327,1,[],QZ9QQ2300781
140.017,17,"['pop', 'dancehall']",UKWLG2300016
164.441,14,['k-pop'],QM6MZ2156864
169.84,9,[],USSM12402037
237.973,58,"['pop', 'hip hop']",USSD11800343
236.0,64,"['pop', 'alternative r&b', 'dance and electronic house', 'r&b']",USRC11600876
237.893,13,"['pop', 'deep house', 'r&b']",USRC11903454
131.213,14,[],QZ85M1940160
132.63,5,[],QZMEM2232831
194.92,3,[],USWB12401947
250.76,111,"['pop', 'dance']",GBAHS1600363
,0,[],TCJPX2396779
,0,[],QZNWQ2410638
187.0,1,['country'],QZPLS2305267
194.0,1,"['latin', 'bachata', 'reggaeton']",USSM12301258
,0,[],BXIV82456543
169.0,3,"['regional mexicano', 'norteño']",QZWT32210000
,0,[],CBEFB2400006
123.89,31,[],USAT22219211
213.333,11,"['ballad', 'hip hop']",USUM72013632
146.0,2,"['jazz', 'electronic']",USUYG1156898
239.0,5,['hip hop'],USUG12208598
206.019,21,['pop'],USA2P2348391
220.3265,19,"['hip-hop/rap', 'hip hop']",USUM71614484
157.89,25,"['electronica', 'house', 'électronique', 'tech house', 'pop']",QZFPL2100100
201.587,40,"['pop', 'reggaeton']",USUM71921183
190.0,13,['hip hop'],USUM72013355
247.0,5,[],QZS7J2331813
171.782,15,[],QZTB92360479
272.113,2,[],USUG12301601
209.0,3,[],QM7282325573
207.853,70,['pop'],GBAHS2100671
,0,[],DGA0Q2357844
136.224,1,[],USA2P2036916
,0,[],SGB502213458
163.0,10,['pop'],USQX92202129
,0,[],QZFZ72309552
338.0,1,[],USWL12300725
229.212,3,[],USUYG1198481
226.0,4,['reggaeton'],USRC12200425
177.72,19,['pop'],USUG12103651
159.401,4,['breaks'],USRC12302756
187.6465,3,[],QMRSZ1901446
182.346,32,"['folk pop', 'folk music', 'rock', 'folk rock', 'pop', 'folk', 'alternative']",USUM72212470
210.56,18,"['pop rap', 'hip hop', 'contemporary r&b']",USRC12101120
,0,[],USUS12400227
,0,[],MXF012200200
172.2565,18,[],USAT22204901
,0,[],SGB502314277
144.195,6,[],USUM72309854
242.965,4,"['pop', 'awesome', 'contemporary r&b']",USUG12104409
99.28,8,['pop'],SGB502248062
211.733,14,[],JPP302300157
333.986,25,[],USUM72401990
177.0,11,['country'],USUG12300821
,0,[],QZ9QQ2400185
215.0,57,"['psychedelic pop', 'pop rock', 'indie pop', 'emotional', 'art pop', 'psychedelic music', 'pop', 'sad']",USUG12101240
,0,[],ES40B2200055
192.0,8,[],USUG12400966
,0,[],SGB502370315
261.0,25,['alternative'],USUM72401993
97.392,4,[],ZZOPM2237319
189.0,14,['j-pop'],KRA401900005
196.075,1,[],TRAUR2400004
218.0,9,['pop'],USUG12401967
187.0,61,"['pop', 'pop / rap', 'electronic']",USAT21802011
196.6,1,['reggaeton'],QMDA62203322
186.026,28,"['pop', 'électronique']",GB3CE2200004
159.0,27,"['pop', 'alternative r&b', 'emo rap + alternative r&b', 'emo rap']",USUYG1221109
172.08,40,['pop'],USUM72019412
149.0,42,"['pop', 'house']",BEHP42100067
,0,[],USUM72402905
215.627,37,"['trance', 'synth-pop', 'rhythm and blues', 'jazz', 'contemporary r&b', 'electronic']",USUG12000658
298.899,51,"['dark', 'pop-punk', 'downtempo', 'melancholy', 'indie pop', 'noise pop', 'sad', 'smooth', 'singer-songwriter', 'pop', 'soul music', 'blue-eyed soul', 'emo']",USUM72105936
221.0,7,"['edm', 'electronica', 'deep house', 'dance-pop', 'house', 'electro', 'progressive house', 'tropical house', 'electronic', 'dance']",GBARL1600460
301.0,4,"['trap music', 'rap', 'latin rap', 'latin pop', 'latin', 'trap latino', 'reggaeton', 'pop']",QM6P41952433
224.0,78,"['film soundtrack', 'show tunes', 'remark/catchy', 'soundtrack', 'soundtrack/pop', 'remark/well-known', 'pop', 'show tune']",USWD11366376
135.0,15,['dance-pop'],USUG11800209
178.0,8,[],USUM72404993
166.384,9,[],USA2P2402103
206.0,45,"['new jack swing', 'funk', 'r&b', 'contemporary r&b', 'pop', 'rnb/swing', 'chart hits;']",USAT21602948
,0,[],QZTVM2210964
164.0,38,['pop'],CYA112000624
157.8555,68,"['pop', 'electronic']",GBCEN1900047
208.135,4,['house'],NLRD52339318
178.693,7,['pop'],USUM72019324
,0,[],FRX282477628
,0,[],CA5KR2466578
233.0,1,[],AUWA02201495
242.28,46,"['dubstep', 'dark', 'rhythm and blues', 'alternative r&b', 'sexy', 'r&b', 'contemporary r&b/soul', 'neo soul', 'hip hop', 'jazz', 'contemporary r&b', 'pop rnb dance', 'pop', 'soul', 'the hills', 'electronic', 'ambient']",USUG11500737
184.16,35,['uk garage'],USA2P2330092
219.733,25,['alternative'],USUM72401995
,0,[],QZQAY2414774
172.533,13,['latin'],USQX92201764
191.0,1,[],USDXS2303230
215.0,9,['alternative rock'],NLZ542301810
171.292,2,[],USUYG1543926
211.0,6,['pop'],USSM12208809
224.0,2,[],USSD12100779
,0,[],UYB282401001
401.5,74,"['adult alternative pop', 'pop rock', 'best', 'rock', 'europop', 'electropop', 'disco', 'pop', 'soft rock', 'dance-pop']",USUM71410340
260.37,5,[],USUM72315072
,0,[],INY092300003
157.0,58,"['pop', 'alternative hip hop']",USSM11902498
200.5025,91,"['edm', 'dance and dj', 'synth-pop', 'dance-pop', 'house', 'electropop', 'hip hop', 'tropical house', 'pop', 'trap', 'electronic', 'dance']",QMZSY1600015
193.805,18,[],USWL12100576
,0,[],FRDDV2200780
,0,[],RUA1D2459522
198.907,6,[],USA2P2415975
190.0,1,[],QM7282306253
167.981,25,['pop'],USRC12000832
215.0,3,['rap/hip-hop'],USAT21701747
211.56,21,['pop'],ITB001700846
162.688,1,[],USWB12401896
,0,[],FRD9M2300690
200.198,8,[],USSD12000190
,0,[],USWL12302952
113.684,1,[],QZS7J2359132
209.829,4,[],GB2LD1800949
207.1095,47,"['pop', 'future house', 'dance']",RUB421901499
307.0,4,[],USRC12302900
125.901,3,['rap/hip hop'],USRC12303379
,0,[],BK4DA2319233
,0,[],QZES82406061
184.203,7,['pop'],USRC11902743
161.803,11,"['alternative', 'hip hop', 'alternative rock']",USAT22007153
,0,[],USUM72402913
188.0,2,[],KRA402300048
,0,[],QM6N22466972
194.786,9,[],USUG12208787
207.54,21,[],USWB12201797
165.0,25,['pop rock'],USUG12305564
200.01,14,['pop'],USUM72402448
156.444,8,"['crunk', 'hip hop']",USUM72403374
204.037,74,"['edm', 'synth-pop', 'house', 'pop', 'electronic', 'dance']",USQX91600011
209.0,8,['electronic'],KRA401800096
160.191,24,"['pop', 'latin', 'reggaeton']",GBUM72005748
227.2065,179,"['electro house', 'folk pop', 'elektro', 'dance and dj', 'festival progressive house', 'dance-pop', 'house', 'electropop', 'progressive house', 'big room', 'club', 'pop', 'dance and house', 'electronic', 'dance']",SEUM71301326
156.0,14,"['deep house', 'edm', 'alternative rock']",FR9W12347222
218.0,2,[],USUM72305143
165.819,15,[],USUG11800651
139.3,9,['dancehall'],DEE862300564
162.398,48,"['pop', 'electronic']",USAT21906943
207.0,13,"['pop', 'indie pop']",USSM11912588
176.64,11,['pop'],USSM11904276
169.0,2,[],GBARL2300322
155.151,1,[],QM24S2402634
212.75,38,"['pop', 'dance pop', 'split me', 'dance']",USUG11802029
200.373,2,[],INS182302348
201.0,2,[],QZNMY2232113
,0,[],USWL12401327
,0,[],BKF5C2400003
178.0,52,"['trance', 'indie folk', 'sweet', 'indie pop', 'dream pop', 'jazz', 'contemporary r&b', 'pop', 'synthpop', 'lovely', 'catchy', 'country', 'synth-pop', 'pop rock', 'country pop', 'europop', 'electropop', 'bubblegum music', 'electronic', 'country music', 'pop music', 'chill', 'funk', 'pop-punk']",USUG11901472
,0,[],USUM72402906
171.0,5,[],USUM72401623
233.902,29,"['pop', 'electro house', 'trap / wave']",USSM11703478
164.545,9,[],USA2P2402101
188.0,1,[],UYB282301034
,0,[],DEE861701287
166.913,1,[],US5TA2400074
,0,[],QM6N21999015
177.598,1,[],DEEC33501508
224.0,2,[],USSM11904899
210.42,79,"['pop', 'pop rock']",DEE861600586
231.826,97,"['alternative pop', 'adult alternative pop', 'synth-pop', 'country rock', 'electropop', 'pop', 'country-pop']",USCJY1431309
215.229,27,"['pop', 'rap/hip-hop', 'pop rock']",USUM71710831
177.316,21,"['pop', 'westcoast rap', 'hip hop']",USUM71703085
203.0,36,"['pop', 'alternative']",DEUM72204717
,0,[],FR9W12228852
159.636,14,"['blues', 'alternative']",USWB12400001
170.977,40,"['pop', 'hip hop']",USUM72215262
186.496,23,"['vocal trance', 'trance', 'eurodance', 'euro-trance']",GBARL2300300
244.973,122,"['chillout', 'cold', 'trip-hop', 'soothing', 'indie pop', 'art pop', 'pop', 'indie', 'cynical', 'house', 'mellow', 'emotional', 'alternative/indie rock', 'alternative rock', 'indie electronic', 'alternative pop', 'australian pop', 'rock', 'gotye', 'pop/rock', 'trip hop', 'electronic', 'bittersweet', 'downtempo', 'indie rock', 'dreamy']",AUZS21100040
219.5965,63,"['pop', 'pop soul', 'pop/r&b', 'contemporary r&b']",USAT21502909
166.504,1,[],USUYG1287925
166.56,2,[],USQX91900309
237.3,109,"['pop', 'hip-hop', 'pop soul']",USWB11506516
228.013,20,"['pop', 'country']",USWB12201213
170.48,3,['reggaeton'],USUM72222552
232.72,196,"['producer tag - pharrell', 'hip-hop', 'pop soul', 'r&b', 'neo soul', 'hip hop', 'contemporary r&b', 'pop', 'soul', 'electronic']",USQ4E1300686
,0,[],QZYFZ2445017
170.809,2,[],USSD12201328
128.128,1,[],QMFMF2394976
185.57566666666665,95,"['pop music', 'pop rock', 'rock', 'acoustic rock', 'teen pop', 'pop']",USUM71604711
,0,[],USUM72215366
270.153,121,"['indie folk', 'alternative rock', 'indie pop', 'alternative/indie rock', 'pop/rock', 'singer-songwriter', 'pop', 'folk rock', 'folk']",GBMQN1200012
129.0,2,[],AUMEV2435468
202.013,52,"['psychedelic pop', 'alternative pop', 'pop rap', 'alternative hip-hop/indie pop', 'pop rock', 'rock', 'indie pop', 'hip hop', 'rap rock', 'alternative hip hop', 'alternative rock', 'pop', 'twenty one pilots', 'indie']",USAT21500597
133.89,17,"['pop', 'rock', 'hip hop']",USAT22100017
287.5,112,"['rnb', 'r&b', 'ballad', 'neo soul', 'hip hop', 'contemporary r&b', 'pop', 'soul', 'electronic']",USSM11303954
123.493,4,['hip hop'],USRC12100442
147.706,8,"['hip hop', 'rap']",USAT22400561
326.9535,13,"['hiphop; r&b', 'hip hop', 'hiphop', 'rap']",USYAH1600107
211.869,1,[],USA2P2410436
194.16,5,[],USWD12328244
216.12,14,"['offizielle charts', 'latin', 'whimsical']",USWD12112915
157.0,15,['country'],USUG12203266
173.333,34,"['rock', 'house', 'jazz', 'pop', 'electronic']",USUM72119916
221.82,83,"['retro', 'synth-pop', 'sexy', 'dance-pop', 'disco', 'pop', 'nu disco', 'dance']",GBAHT1901303
176.0,56,[],KRA402200020
,0,[],QZ7HP2300092
166.812,3,[],USA2P2431076
,0,[],QMEU32211578
,0,[],SGB502214297
210.368,9,"['pop', 'hip hop', 'jazz', 'reggaeton']",USWB11802236
247.058,5,"['canadian hip hop', 'pop rap', 'trap + pop rap', 'hip hop', 'trap', 'trap rap + pop rap', 'alt hip hop']",USUG12001281
164.386,3,[],USUM72300862
261.226,85,"['alternative pop', 'indie folk', 'pop music', 'pop rock', 'synth-pop', 'country pop', 'folk-pop', 'pop', 'country music']",USUG12401031
180.0,4,"['rap/hip hop', 'electronic']",USUM71911808
,0,[],ARF062200275
